dataset,model,macro_f1_mean,macro_f1_std,macro_f1_present_mean,macro_f1_present_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,n_folds,per_fold,seconds
UCDHE_clf_mc_MP,rf_summary,0.4959,0.0398,0.4959,0.0398,0.5090,0.0335,0.5099,0.0350,5,0.4517 0.4717 0.5644 0.4770 0.5146,4.1
UCDHE_clf_mc_MP,minirocket,0.7980,0.0183,0.7980,0.0183,0.7969,0.0162,0.7981,0.0161,5,0.8128 0.7782 0.8054 0.7742 0.8191,8.8
UCDHE_clf_mc_Rowing,majority,0.0672,0.0022,0.0672,0.0022,0.2000,0.0000,0.2018,0.0078,5,0.0679 0.0667 0.0635 0.0676 0.0702,378.1
UCDHE_clf_mc_Rowing,rf_flatten,0.6571,0.0515,0.6571,0.0515,0.6605,0.0524,0.6566,0.0509,5,0.6929 0.6518 0.6930 0.6890 0.5588,10.3
UCDHE_clf_mc_Rowing,rf_summary,0.7241,0.0422,0.7241,0.0422,0.7263,0.0459,0.7212,0.0461,5,0.7600 0.7730 0.7243 0.7104 0.6530,6.4
UCDHE_clf_mc_Rowing,minirocket,0.7324,0.0353,0.7324,0.0353,0.7326,0.0366,0.7271,0.0375,5,0.7626 0.7864 0.7070 0.7072 0.6990,20.1
KERAAL_clf_bn_CTK,majority,0.2926,0.1274,0.2926,0.1274,0.5000,0.0000,0.4625,0.2733,6,0.3333 0.4583 0.4400 0.2222 0.1250 0.1765,441.7
KERAAL_clf_bn_CTK,rf_flatten,0.5587,0.2385,0.5587,0.2385,0.6470,0.1700,0.7125,0.2285,6,0.8571 0.4583 0.1765 0.8444 0.5758 0.4400,6.2
KERAAL_clf_bn_CTK,rf_summary,0.3996,0.1649,0.3996,0.1649,0.4772,0.1169,0.5778,0.2086,6,0.3000 0.3500 0.1765 0.7143 0.4167 0.4400,6.6
KERAAL_clf_bn_CTK,minirocket,0.5247,0.1896,0.5247,0.1896,0.5964,0.1222,0.6813,0.2154,6,0.8542 0.2262 0.5758 0.5906 0.4615 0.4400,7.7
KERAAL_clf_bn_ELK,majority,0.5911,0.3095,0.5911,0.3095,0.6667,0.2357,0.7976,0.2841,6,1.0000 0.4667 0.4444 0.4815 1.0000 0.1538,438.2
KERAAL_clf_bn_ELK,rf_flatten,0.4864,0.2544,0.5634,0.3008,0.6156,0.2289,0.7285,0.2719,6,1.0000 0.4667 0.3750 0.4615 0.4615 0.1538,5.9
KERAAL_clf_bn_ELK,rf_summary,0.5911,0.3095,0.5911,0.3095,0.6667,0.2357,0.7976,0.2841,6,1.0000 0.4667 0.4444 0.4815 1.0000 0.1538,6.5
KERAAL_clf_bn_ELK,minirocket,0.4792,0.2582,0.5526,0.2963,0.5997,0.2263,0.7119,0.2852,6,0.4400 0.4667 0.3333 0.4815 1.0000 0.1538,7.6
KERAAL_clf_bn_RTK,majority,0.3202,0.3400,0.3202,0.3400,0.4167,0.3436,0.4002,0.3629,6,0.3636 0.0000 1.0000 0.0000 0.3810 0.1765,394.9
KERAAL_clf_bn_RTK,rf_flatten,0.3386,0.1431,0.4637,0.1411,0.4352,0.1502,0.4143,0.1347,6,0.6257 0.3333 0.1818 0.2353 0.2778 0.3778,5.9
KERAAL_clf_bn_RTK,rf_summary,0.7316,0.2208,0.7957,0.1575,0.7710,0.1703,0.8029,0.1470,6,0.7544 0.3846 1.0000 1.0000 0.6750 0.5758,6.2
KERAAL_clf_bn_RTK,minirocket,0.6120,0.2322,0.7698,0.2449,0.7749,0.2078,0.7676,0.2252,6,0.7846 0.4667 1.0000 0.4800 0.2909 0.6500,7.1
IRDS_clf_bn_EFL,majority,0.4361,0.3239,0.4361,0.3239,0.5000,0.3162,0.5987,0.3481,5,0.4474 0.3091 0.0000 1.0000 0.4242,87.0
IRDS_clf_bn_EFL,rf_flatten,0.2358,0.1981,0.2358,0.1981,0.2897,0.2373,0.3511,0.3010,5,0.4457 0.3091 0.0000 0.0000 0.4242,2.8
IRDS_clf_bn_EFL,rf_summary,0.3303,0.1742,0.4244,0.3036,0.4778,0.2824,0.5765,0.3245,5,0.4474 0.3091 0.0000 0.4706 0.4242,2.8
IRDS_clf_bn_EFL,minirocket,0.6152,0.2886,0.7626,0.2359,0.7255,0.2475,0.7883,0.2301,5,0.9143 1.0000 0.2667 0.4706 0.4242,1.7
